title,date,content,Noun
[서울포토] 4위 손연재 ‘수고했어~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 선수들과 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 선수들과 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,선수,포옹,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,선수,포옹,리우데자네이루,올림픽,사진,공동,취재,단"
"[서울포토] 4위 손연재, 벨라로스 멜리티나 선수와 포옹",2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 리듬체조 결선에서 리본 연기 후 벨라로스 멜리티나 선수와 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 리듬체조 결선에서 리본 연기 후 벨라로스 멜리티나 선수와 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리듬체조,결선,리본,연기,후,벨라,로스,티나,선수,포옹,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리듬체조,결선,리본,연기,후,벨라,로스,티나,선수,포옹,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘사랑해요~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 경기장을 빠져나가다 하트를 그려보이고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 경기장을 빠져나가다 하트를 그려보이고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,경기장,하트,보이,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,경기장,하트,보이,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘사랑해요~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 경기장을 빠져나가다 하트를 그려보이고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 경기장을 빠져나가다 하트를 그려보이고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,경기장,하트,보이,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,경기장,하트,보이,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘훨훨 날겠어~’,2016-08-21,"▲ 한국의 손연재가 20일 오전(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 리듬체조 결선에서 리본 연기를 펼치고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


한국의 손연재가 20일 오전(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 리듬체조 결선에서 리본 연기를 펼치고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","한국,손연재,오전,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리듬체조,결선,리본,연기,리우데자네이루,올림픽,사진,공동,취재,단,한국,손연재,오전,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리듬체조,결선,리본,연기,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘난 끝났어’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 스페인의 캐롤리나 로드리게스와 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 후 스페인의 캐롤리나 로드리게스와 포옹을 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,스페인,캐롤리나,로드리게스,포옹,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,후,스페인,캐롤리나,로드리게스,포옹,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘수고했어~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 리본 연기를 마친 후 리본에 키스를 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 리본 연기를 마친 후 리본에 키스를 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,리본,연기,후,리본,키스,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,리본,연기,후,리본,키스,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘두주먹 불끈’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 리본 연기를 마친 후 주먹을 불끈쥐고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 리본 연기를 마친 후 주먹을 불끈쥐고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,리본,연기,후,주먹,불끈쥐,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,리본,연기,후,주먹,불끈쥐,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘사랑해요~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 고 점수를 확인한 후 인사를 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 바하 리우올림픽 경기장에서 열린 2016 리우올림픽 리듬체조 결선에서 모든 연기를 마친 고 점수를 확인한 후 인사를 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,점수,확인,후,인사,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,바하,리우,올림픽,경기장,리우,올림픽,리듬체조,결선,모든,연기,점수,확인,후,인사,리우데자네이루,올림픽,사진,공동,취재,단"
[서울포토] 4위 손연재 ‘감사합니다~’,2016-08-21,"▲ 손연재가 20일 오후(현지시간) 브라질 리우데자네이루 올림픽 경기장에서 열린 리듬체조 결선경기를 4위로 마치고 손을 들어 인사 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단


손연재가 20일 오후(현지시간) 브라질 리우데자네이루 올림픽 경기장에서 열린 리듬체조 결선경기를 4위로 마치고 손을 들어 인사 하고 있다./2016.8.20/리우데자네이루=올림픽사진공동취재단","손연재,오후,현지,브라질,리우데자네이루,올림픽,경기장,리듬체조,결선,경기,위로,손,인사,리우데자네이루,올림픽,사진,공동,취재,단,손연재,오후,현지,브라질,리우데자네이루,올림픽,경기장,리듬체조,결선,경기,위로,손,인사,리우데자네이루,올림픽,사진,공동,취재,단"
