,Nation,Olympic,Gold,Silver,Bronze,event_count,date,label,GDP
439,Turkmenistan,rio-2016,0,0,0,4,2016,summer,36179885714.2857
3146,Niger,tokyo-1964,0,0,0,1,1964,summer,582816396.216401
3147,Nigeria,tokyo-1964,0,0,1,2,1964,summer,5552822483.55033
3148,Iraq,tokyo-1964,0,0,0,3,1964,summer,2340521142.5371
2592,Sierra Leone,moscow-1980,0,0,0,2,1980,summer,1100685844.92284
2726,Morocco,montreal-1976,0,0,0,3,1976,summer,9584323309.121359
2727,Saudi Arabia,montreal-1976,0,0,0,1,1976,summer,64005665722.3796
2728,Central African Republic,montreal-1976,0,0,0,1,1976,summer,451152449.98441106
2729,Honduras,montreal-1976,0,0,0,1,1976,summer,1347999950.0
2730,Nepal,montreal-1976,0,0,0,1,1976,summer,1452792989.10865
637,Guam,london-2012,0,0,0,5,2012,summer,5199000000.0
638,Fiji,london-2012,0,0,0,5,2012,summer,3972012570.5346704
2734,Kenya,montreal-1976,0,0,0,2,1976,summer,3474542392.04597
2735,Ghana,montreal-1976,0,0,0,1,1976,summer,2765254360.20623
2736,Zambia,montreal-1976,0,0,0,1,1976,summer,2746714285.7142897
2737,Guyana,montreal-1976,0,0,0,1,1976,summer,454440000.0
2739,Burkina Faso,montreal-1976,0,0,0,1,1976,summer,976547572.215824
2740,Uganda,montreal-1976,0,0,0,1,1976,summer,2447300000.0
2725,Fiji,montreal-1976,0,0,0,1,1976,summer,694552411.718837
2723,Bermuda,montreal-1976,0,0,1,3,1976,summer,386300000.0
2712,Indonesia,montreal-1976,0,0,0,3,1976,summer,39681453146.0051
2705,India,montreal-1976,0,0,0,5,1976,summer,101346972433.237
2706,Ireland,montreal-1976,0,0,0,9,1976,summer,9465078120.57741
2707,Andorra,montreal-1976,0,0,0,2,1976,summer,227281024.620741
2708,Papua New Guinea,montreal-1976,0,0,0,3,1976,summer,1511856584.2583199
2709,Paraguay,montreal-1976,0,0,0,4,1976,summer,1540820245.2381
2710,Luxembourg,montreal-1976,0,0,0,4,1976,summer,3544268025.07837
2713,Pakistan,montreal-1976,0,0,1,4,1976,summer,13338484979.798
2722,Peru,montreal-1976,0,0,0,2,1976,summer,15947709379.6507
2714,Dominican Republic,montreal-1976,0,0,0,3,1976,summer,3951399900.0
2715,Tunisia,montreal-1976,0,0,0,4,1976,summer,4507929104.477611
2717,Nigeria,montreal-1976,0,0,0,2,1976,summer,36308883248.731
2719,Cameroon,montreal-1976,0,0,0,2,1976,summer,3076592431.27204
592,Belgium,london-2012,0,1,2,23,2012,summer,497884216568.867
2721,Uruguay,montreal-1976,0,0,0,4,1976,summer,3667161241.4837203
2742,Algeria,montreal-1976,0,0,0,1,1976,summer,17728347374.994
2743,Swaziland,montreal-1976,0,0,0,1,1976,summer,272539098.436063
2744,Togo,montreal-1976,0,0,0,1,1976,summer,619375134.1805099
2774,Spain,innsbruck-1976,0,0,0,1,1976,summer,118185307386.22198
2766,Argentina,innsbruck-1976,0,0,0,2,1976,summer,51169499890.7722
2767,Greece,innsbruck-1976,0,0,0,2,1976,summer,31152840485.0746
2768,Liechtenstein,innsbruck-1976,0,0,2,3,1976,summer,272493879.020643
2771,Australia,innsbruck-1976,0,0,0,3,1976,summer,104974158578.092
2772,New Zealand,innsbruck-1976,0,0,0,1,1976,summer,13604832424.0062
2775,Belgium,innsbruck-1976,0,0,0,2,1976,summer,71494539498.4326
2745,Iraq,montreal-1976,0,0,0,1,1976,summer,17754825601.0836
2777,Chile,innsbruck-1976,0,0,0,1,1976,summer,10341925249.0421
2778,Andorra,innsbruck-1976,0,0,0,1,1976,summer,227281024.620741
2765,Iceland,innsbruck-1976,0,0,0,2,1976,summer,1683117417.79656
641,Luxembourg,london-2012,0,0,0,7,2012,summer,56677961787.0717
2764,Turkey,innsbruck-1976,0,0,0,2,1976,summer,51280134554.2889
2746,Niger,montreal-1976,0,0,0,1,1976,summer,1064517600.10051
639,Mongolia,london-2012,0,2,3,7,2012,summer,12292770631.1967
590,Singapore,london-2012,0,0,2,7,2012,summer,289162118908.538
581,Zimbabwe,london-2012,0,0,0,4,2012,summer,14242490252.4289
640,Guinea,london-2012,0,0,0,2,2012,summer,7387103675.30283
2753,Sweden,innsbruck-1976,0,0,2,7,1976,summer,88102107647.0993
2760,France,innsbruck-1976,0,0,1,8,1976,summer,373410270417.919
2762,Japan,innsbruck-1976,0,0,0,10,1976,summer,583142956487.974
2703,Malaysia,montreal-1976,0,0,0,4,1976,summer,11050125904.9418
2702,Chile,montreal-1976,0,0,0,3,1976,summer,10341925249.0421
2701,Bolivia,montreal-1976,0,0,0,5,1976,summer,2732083958.02099
2649,Austria,montreal-1976,0,0,1,12,1976,summer,42959976068.1138
626,Israel,london-2012,0,0,0,10,2012,summer,257296579579.346
633,Morocco,london-2012,0,0,1,12,2012,summer,98266306615.3632
2644,Argentina,montreal-1976,0,0,0,13,1976,summer,51169499890.7722
624,Iraq,london-2012,0,0,0,6,2012,summer,218000986222.63898
622,Greece,london-2012,0,0,2,23,2012,summer,245670666639.047
619,Paraguay,london-2012,0,0,0,6,2012,summer,24595319573.7548
616,Portugal,london-2012,0,1,0,16,2012,summer,216368178659.447
606,Uruguay,london-2012,0,0,0,7,2012,summer,51264390121.4144
2615,People's Republic of China,lake-placid-1980,0,0,0,5,1980,summer,191149211575.0
613,Papua New Guinea,london-2012,0,0,0,4,2012,summer,21295834133.2309
611,Austria,london-2012,0,0,0,21,2012,summer,409425234155.26294
2655,Liechtenstein,montreal-1976,0,0,0,2,1976,summer,272493879.020643
2656,Canada,montreal-1976,0,5,6,26,1976,summer,206575564401.62302
2658,Puerto Rico,montreal-1976,0,0,1,12,1976,summer,8968600000.0
627,Uzbekistan,london-2012,0,0,2,13,2012,summer,51821573338.1312
2639,Costa Rica,lake-placid-1980,0,0,0,1,1980,summer,4831447001.166861
2638,Bolivia,lake-placid-1980,0,0,0,1,1980,summer,4537487842.57749
2622,France,lake-placid-1980,0,0,1,6,1980,summer,703525302701.025
630,Finland,london-2012,0,2,1,13,2012,summer,256706466091.089
2618,Italy,lake-placid-1980,0,2,0,8,1980,summer,475682506443.59
2626,Bulgaria,lake-placid-1980,0,0,1,3,1980,summer,19839230769.2308
2628,Iceland,lake-placid-1980,0,0,0,2,1980,summer,3409023699.34967
2629,Spain,lake-placid-1980,0,0,0,2,1980,summer,232134606637.27103
2630,Argentina,lake-placid-1980,0,0,0,3,1980,summer,76961923741.9478
2632,New Zealand,lake-placid-1980,0,0,0,1,1980,summer,23245512449.3341
2634,Andorra,lake-placid-1980,0,0,0,1,1980,summer,446416105.825017
2635,Belgium,lake-placid-1980,0,0,0,1,1980,summer,127508202372.741
2636,Greece,lake-placid-1980,0,0,0,1,1980,summer,56829663469.2246
2637,Cyprus,lake-placid-1980,0,0,0,1,1980,summer,2154311276.94859
607,Armenia,london-2012,0,1,1,8,2012,summer,10619320048.5857
2700,Philippines,montreal-1976,0,0,0,5,1976,summer,17097563270.2982
2691,Monaco,montreal-1976,0,0,0,3,1976,summer,735339911.935065
2683,Thailand,montreal-1976,0,0,1,10,1976,summer,16985211146.0238
2609,Canada,lake-placid-1980,0,1,1,8,1980,summer,273853826377.01
595,Iceland,london-2012,0,0,0,6,2012,summer,14218575093.023998
2690,Greece,montreal-1976,0,0,0,8,1976,summer,31152840485.0746
2692,Netherlands,montreal-1976,0,2,3,12,1976,summer,107775403067.17801
2662,Senegal,montreal-1976,0,0,0,3,1976,summer,2266860655.65881
2693,Costa Rica,montreal-1976,0,0,0,3,1976,summer,2412555425.90432
636,Bosnia and Herzegovina,london-2012,0,0,0,4,2012,summer,17226849297.07
594,Bulgaria,london-2012,0,2,1,18,2012,summer,53903028252.2996
2697,Belize,montreal-1976,0,0,0,2,1976,summer,96905829.5964126
2698,Colombia,montreal-1976,0,0,0,8,1976,summer,15341403660.4698
2699,Guatemala,montreal-1976,0,0,0,6,1976,summer,4365300200.0
2681,Suriname,montreal-1976,0,0,0,1,1976,summer,505500000.0
2680,Iceland,montreal-1976,0,0,0,3,1976,summer,1683117417.79656
2679,Singapore,montreal-1976,0,0,0,3,1976,summer,6326445409.69089
2678,Belgium,montreal-1976,0,3,3,17,1976,summer,71494539498.4326
2663,Australia,montreal-1976,0,1,4,20,1976,summer,104974158578.092
2664,Spain,montreal-1976,0,2,0,11,1976,summer,118185307386.22198
2665,Portugal,montreal-1976,0,2,0,5,1976,summer,20334835543.7666
605,Andorra,london-2012,0,0,0,4,2012,summer,3164615186.94591
604,Honduras,london-2012,0,0,0,7,2012,summer,18528506894.0586
2613,Japan,lake-placid-1980,0,1,0,10,1980,summer,1099692917412.75
2670,Brazil,montreal-1976,0,0,2,11,1976,summer,152678020452.829
2672,Kuwait,montreal-1976,0,0,0,2,1976,summer,13131668946.6484
2673,Turkey,montreal-1976,0,0,0,7,1976,summer,51280134554.2889
2674,Israel,montreal-1976,0,0,0,8,1976,summer,15176875000.0
2675,Ecuador,montreal-1976,0,0,0,3,1976,summer,9091924304.83477
2676,Panama,montreal-1976,0,0,0,4,1976,summer,2588106000.0
2946,Belgium,mexico-city-1968,0,1,1,12,1968,summer,21376353113.475
2888,Sri Lanka,munich-1972,0,0,0,2,1972,summer,2553936348.40871
2889,Guatemala,munich-1972,0,0,0,3,1972,summer,2101300000.0
2892,Saudi Arabia,munich-1972,0,0,0,1,1972,summer,9664157498.5524
2894,Kuwait,munich-1972,0,0,0,1,1972,summer,4451200972.9401
2895,Madagascar,munich-1972,0,0,0,2,1972,summer,1341590681.586
2896,Nepal,munich-1972,0,0,0,1,1972,summer,1024098804.93827
2886,El Salvador,munich-1972,0,0,0,2,1972,summer,1263720000.0
2898,Liberia,munich-1972,0,0,0,1,1972,summer,368098000.0
2899,Fiji,munich-1972,0,0,0,1,1972,summer,316650508.967523
2900,Mali,munich-1972,0,0,0,2,1972,summer,486617332.387405
2901,Suriname,munich-1972,0,0,0,1,1972,summer,287600000.0
2902,Afghanistan,munich-1972,0,0,0,1,1972,summer,1595555475.5555599
2887,Paraguay,munich-1972,0,0,0,2,1972,summer,697291727.777778
2885,Costa Rica,munich-1972,0,0,0,3,1972,summer,1238251695.55388
2787,Belgium,munich-1972,0,2,0,14,1972,summer,37408591329.8506
2595,Trinidad and Tobago,moscow-1980,0,0,0,1,1980,summer,6235833333.33333
2869,Zambia,munich-1972,0,0,0,2,1972,summer,1910714285.71429
2870,Niger,munich-1972,0,0,1,1,1972,summer,742779659.4551669
2871,Gabon,munich-1972,0,0,0,1,1972,summer,430508357.723916
2872,Chad,munich-1972,0,0,0,1,1972,summer,585427545.723598
2874,Benin,munich-1972,0,0,0,2,1972,summer,410331900.950531
2875,Chile,munich-1972,0,0,0,4,1972,summer,11853817307.6923
2884,Belize,munich-1972,0,0,0,1,1972,summer,66062500.0
2876,Singapore,munich-1972,0,0,0,2,1972,summer,2719900350.73917
2877,Ecuador,munich-1972,0,0,0,2,1972,summer,3185987234.84089
2878,Algeria,munich-1972,0,0,0,1,1972,summer,6761786386.54713
2879,Bolivia,munich-1972,0,0,0,3,1972,summer,1257615644.9793198
2880,Monaco,munich-1972,0,0,0,1,1972,summer,402460333.237637
2881,Syrian Arab Republic,munich-1972,0,0,0,2,1972,summer,3059682162.06566
2882,Swaziland,munich-1972,0,0,0,2,1972,summer,146741251.46351
3253,Puerto Rico,rome-1960,0,0,0,5,1960,summer,1691900000.0
2937,Philippines,sapporo-1972,0,0,0,1,1972,summer,8017468688.2004
2931,Belgium,sapporo-1972,0,0,0,1,1972,summer,37408591329.8506
2932,Argentina,sapporo-1972,0,0,0,1,1972,summer,34733000536.2862
2934,New Zealand,sapporo-1972,0,0,0,1,1972,summer,9567331064.65727
2936,Greece,sapporo-1972,0,0,0,1,1972,summer,16885506818.1818
2907,Finland,sapporo-1972,0,4,1,6,1972,summer,14754136507.0261
2940,India,mexico-city-1968,0,0,1,5,1968,summer,52377324280.0
2943,Spain,mexico-city-1968,0,0,0,10,1968,summer,31475548481.4095
2593,Seychelles,moscow-1980,0,0,0,2,1980,summer,147357222.779802
2928,Australia,sapporo-1972,0,0,0,2,1972,summer,52003504672.8972
2916,France,sapporo-1972,0,1,2,9,1972,summer,204283485045.51398
2917,Canada,sapporo-1972,0,1,0,7,1972,summer,113082820992.019
2919,Great Britain,sapporo-1972,0,0,0,7,1972,summer,169965034965.035
2924,Liechtenstein,sapporo-1972,0,0,0,2,1972,summer,124941925.010473
2867,Cambodia,munich-1972,0,0,0,2,1972,summer,505549441.37507695
2816,Thailand,munich-1972,0,0,0,8,1972,summer,8177884552.884609
2810,Brazil,munich-1972,0,0,2,13,1972,summer,58539008786.3684
2811,Ireland,munich-1972,0,0,0,10,1972,summer,6325627655.389461
2812,Puerto Rico,munich-1972,0,0,0,7,1972,summer,6328900000.0
2602,Puerto Rico,moscow-1980,0,0,0,1,1980,summer,14436100000.0
2817,Spain,munich-1972,0,0,1,14,1972,summer,58971806626.9739
2827,Portugal,munich-1972,0,0,0,7,1972,summer,11240223128.2431
2818,Bermuda,munich-1972,0,0,0,2,1972,summer,235400000.0
2820,Argentina,munich-1972,0,1,0,13,1972,summer,34733000536.2862
2822,Philippines,munich-1972,0,0,0,10,1972,summer,8017468688.2004
2823,Greece,munich-1972,0,2,0,8,1972,summer,16885506818.1818
2824,Israel,munich-1972,0,0,0,5,1972,summer,8771500000.0
2825,Trinidad and Tobago,munich-1972,0,0,0,4,1972,summer,1083381044.0847301
2807,Canada,munich-1972,0,2,3,20,1972,summer,113082820992.019
2795,Austria,munich-1972,0,1,2,16,1972,summer,22059612417.4058
2800,Mexico,munich-1972,0,1,0,20,1972,summer,45178120000.0
2826,India,munich-1972,0,0,1,7,1972,summer,70509913046.8528
2847,Malaysia,munich-1972,0,0,0,6,1972,summer,5043268548.73032
2848,Senegal,munich-1972,0,0,0,5,1972,summer,1280328245.00174
2850,Tunisia,munich-1972,0,1,0,5,1972,summer,2237476420.03773
2597,Uganda,moscow-1980,0,1,0,2,1980,summer,1244610000.0
2851,Luxembourg,munich-1972,0,0,0,4,1972,summer,1968733021.7212
2853,Uruguay,munich-1972,0,0,0,2,1972,summer,2189418001.37898
2855,Cameroon,munich-1972,0,0,0,2,1972,summer,1430951331.8503401
2829,Jamaica,munich-1972,0,0,1,5,1972,summer,1875048859.93485
2856,Liechtenstein,munich-1972,0,0,0,3,1972,summer,124941925.010473
2857,Malawi,munich-1972,0,0,0,3,1972,summer,406084197.385471
2858,Togo,munich-1972,0,0,0,3,1972,summer,335677636.893737
2859,Peru,munich-1972,0,0,0,6,1972,summer,9189413409.01292
2860,Malta,munich-1972,0,0,0,2,1972,summer,295118249.324932
2861,Morocco,munich-1972,0,0,0,5,1972,summer,5074117544.77482
2862,Ghana,munich-1972,0,0,1,3,1972,summer,2112293279.98507
2863,Nigeria,munich-1972,0,0,1,2,1972,summer,12274416017.7976
2846,Guyana,munich-1972,0,0,0,2,1972,summer,285380952.380952
2845,Pakistan,munich-1972,0,1,0,4,1972,summer,9309109764.07784
2599,Andorra,moscow-1980,0,0,0,1,1980,summer,446416105.825017
2830,Dominican Republic,munich-1972,0,0,0,3,1972,summer,1987300000.0
2833,Indonesia,munich-1972,0,0,0,3,1972,summer,11709424257.1698
2834,Colombia,munich-1972,0,1,2,7,1972,summer,8671358732.68486
2601,Benin,moscow-1980,0,0,0,1,1980,summer,1405251547.2388198
2600,Jordan,moscow-1980,0,0,0,1,1980,summer,3910036925.14267
2837,Panama,munich-1972,0,0,0,3,1972,summer,1673411700.0
2840,Sudan,munich-1972,0,0,0,4,1972,summer,2882000000.0
2842,Iceland,munich-1972,0,0,0,2,1972,summer,846506911.398142
2843,Turkey,munich-1972,0,1,0,6,1972,summer,20431095406.3604
3289,Uganda,rome-1960,0,0,0,1,1960,summer,423008385.74423504
3255,Sudan,rome-1960,0,0,0,3,1960,summer,1307333333.3333302
370,Malta,rio-2016,0,0,0,3,2016,summer,10999047580.3881
368,Mongolia,rio-2016,0,1,1,9,2016,summer,11183458130.8083
366,Peru,rio-2016,0,0,0,10,2016,summer,192207342004.68103
365,Uruguay,rio-2016,0,0,0,8,2016,summer,52419720713.7316
376,United Arab Emirates,rio-2016,0,0,1,6,2016,summer,348743265704.56104
377,El Salvador,rio-2016,0,0,0,6,2016,summer,26797470000.0
375,Oman,rio-2016,0,0,0,1,2016,summer,66293368010.4031
374,Bolivia,rio-2016,0,0,0,5,2016,summer,33806395513.7482
373,Myanmar,rio-2016,0,0,0,4,2016,summer,63225097051.255
371,Pakistan,rio-2016,0,0,0,3,2016,summer,278913371202.065
364,Qatar,rio-2016,0,1,0,10,2016,summer,152451923076.923
363,Guatemala,rio-2016,0,0,0,9,2016,summer,68763255963.8943
355,Saudi Arabia,rio-2016,0,0,0,5,2016,summer,646438380560.0
354,Lebanon,rio-2016,0,0,0,7,2016,summer,49598825982.1559
353,Panama,rio-2016,0,0,0,6,2016,summer,55187700000.0
351,Algeria,rio-2016,0,2,0,12,2016,summer,159049096745.249
347,Estonia,rio-2016,0,0,1,13,2016,summer,23337907618.5174
346,Tunisia,rio-2016,0,0,3,18,2016,summer,42062549394.7859
336,Bulgaria,rio-2016,0,1,2,15,2016,summer,53237882472.7108
333,Senegal,rio-2016,0,0,0,7,2016,summer,14683697630.9
362,Iraq,rio-2016,0,0,0,5,2016,summer,171489001692.047
361,Honduras,rio-2016,0,0,0,6,2016,summer,21516938909.5686
360,Zimbabwe,rio-2016,0,0,0,7,2016,summer,16619960401.9038
357,Benin,rio-2016,0,0,0,3,2016,summer,8583031398.21675
3286,Suriname,rome-1960,0,0,0,1,1960,summer,93850000.0
3278,Zimbabwe,rome-1960,0,0,0,1,1960,summer,1052990400.0
3279,Panama,rome-1960,0,0,0,3,1960,summer,537147100.0
3280,Iceland,rome-1960,0,0,0,1,1960,summer,248434096.96872598
3282,Guyana,rome-1960,0,0,0,2,1960,summer,170215248.206265
3287,Colombia,rome-1960,0,0,0,4,1960,summer,4040948153.7302203
3276,Sri Lanka,rome-1960,0,0,0,3,1960,summer,1409873949.5798302
3288,Iraq,rome-1960,0,0,1,4,1960,summer,1684121534.58415
3290,Bermuda,rome-1960,0,0,0,1,1960,summer,84466654.0801544
3291,Singapore,rome-1960,0,1,0,2,1960,summer,704462302.3650861
404,Uganda,rio-2016,0,0,0,3,2016,summer,24078931933.4578
3277,Liberia,rome-1960,0,0,0,1,1960,summer,190495600.0
3275,Netherlands,rome-1960,0,1,2,14,1960,summer,12276734172.0828
3258,Kenya,rome-1960,0,0,0,4,1960,summer,791265458.813328
3259,Belgium,rome-1960,0,2,2,15,1960,summer,11658722590.99
3260,Mexico,rome-1960,0,0,1,13,1960,summer,13056168000.0
3262,Thailand,rome-1960,0,0,0,4,1960,summer,2760747471.88624
3263,Morocco,rome-1960,0,1,0,9,1960,summer,2037150716.33238
3265,Israel,rome-1960,0,0,0,5,1960,summer,2598500000.0
3266,Uruguay,rome-1960,0,0,0,6,1960,summer,1242289212.04285
406,Malawi,rio-2016,0,0,0,3,2016,summer,5433038646.51677
3268,Ghana,rome-1960,0,1,0,2,1960,summer,1217230094.97205
3270,Afghanistan,rome-1960,0,0,0,2,1960,summer,537777811.111111
3272,Nigeria,rome-1960,0,0,0,2,1960,summer,4196092258.15484
378,Namibia,rio-2016,0,0,0,5,2016,summer,10947880690.471
386,Andorra,rio-2016,0,0,0,3,2016,summer,2858517699.11504
391,Sri Lanka,rio-2016,0,0,0,6,2016,summer,81321876307.2556
389,Nicaragua,rio-2016,0,0,0,3,2016,summer,13230844686.858
388,Barbados,rio-2016,0,0,0,5,2016,summer,4529050000.0
387,Cyprus,rio-2016,0,0,0,6,2016,summer,20047013274.3363
393,Angola,rio-2016,0,0,0,6,2016,summer,95335111741.2025
384,Bhutan,rio-2016,0,0,0,2,2016,summer,2212638830.3943896
381,Bosnia and Herzegovina,rio-2016,0,0,0,5,2016,summer,16910277133.6463
379,San Marino,rio-2016,0,0,0,1,2016,summer,1590707964.60177
392,Dominican Republic,rio-2016,0,0,1,10,2016,summer,71583553487.5646
3323,Denmark,squaw-valley-1960,0,0,0,1,1960,summer,6248946880.2777
3302,Italy,squaw-valley-1960,0,0,1,6,1960,summer,40385288344.1911
3305,Japan,squaw-valley-1960,0,0,0,7,1960,summer,44307342950.4
395,Trinidad and Tobago,rio-2016,0,0,1,7,2016,summer,21894706041.2353
3309,Great Britain,squaw-valley-1960,0,0,0,5,1960,summer,72328047042.1588
3310,Australia,squaw-valley-1960,0,0,0,6,1960,summer,18593347519.3191
3322,Turkey,squaw-valley-1960,0,0,0,1,1960,summer,13995067817.5092
3314,South Africa,squaw-valley-1960,0,0,0,1,1960,summer,7575248495.0301
3315,Netherlands,squaw-valley-1960,0,1,1,2,1960,summer,12276734172.0828
3316,Iceland,squaw-valley-1960,0,0,0,2,1960,summer,248434096.96872598
3317,Chile,squaw-valley-1960,0,0,0,1,1960,summer,4110000000.0
3319,Spain,squaw-valley-1960,0,0,0,1,1960,summer,12072126075.397
3320,New Zealand,squaw-valley-1960,0,0,0,1,1960,summer,5485854791.970961
330,Nigeria,rio-2016,0,0,1,10,2016,summer,404652720164.859
329,Lithuania,rio-2016,0,1,3,15,2016,summer,42738875963.3703
319,Portugal,rio-2016,0,0,1,18,2016,summer,204836597909.466
318,Malaysia,rio-2016,0,4,1,10,2016,summer,296535930381.12
326,Morocco,rio-2016,0,0,1,13,2016,summer,103606321692.58199
323,Israel,rio-2016,0,0,2,16,2016,summer,317744784695.1
322,Bangladesh,rio-2016,0,0,0,4,2016,summer,221415162445.648
320,India,rio-2016,0,1,1,15,2016,summer,2263792499341.01
321,Philippines,rio-2016,0,1,0,8,2016,summer,304905406845.291
305,Ecuador,rio-2016,0,0,0,14,2016,summer,98613972000.0
301,Norway,rio-2016,0,0,4,14,2016,summer,371076190476.19
299,Latvia,rio-2016,0,0,0,13,2016,summer,27572698481.8766
317,Chile,rio-2016,0,0,0,16,2016,summer,247027912574.35
316,Mexico,rio-2016,0,3,2,28,2016,summer,1046922702460.87
312,Finland,rio-2016,0,0,1,16,2016,summer,238502900311.9
311,Paraguay,rio-2016,0,0,0,7,2016,summer,27424071382.7244
310,Ireland,rio-2016,0,2,0,16,2016,summer,304819020500.641
308,Austria,rio-2016,0,0,1,23,2016,summer,390799991147.46796
645,Madagascar,london-2012,0,0,0,5,2012,summer,9919780071.287642
646,Estonia,london-2012,0,1,1,11,2012,summer,23043864510.0543
1561,Ghana,sydney-2000,0,0,0,1,2000,summer,4983024408.14828
1562,Zambia,sydney-2000,0,0,0,2,2000,summer,3600683039.7325397
1563,Guinea,sydney-2000,0,0,0,2,2000,summer,2995360969.1619897
1564,Burkina Faso,sydney-2000,0,0,0,1,2000,summer,2628920056.1009803
1565,Madagascar,sydney-2000,0,0,0,2,2000,summer,3877673539.09084
1566,Suriname,sydney-2000,0,0,0,1,2000,summer,892164393.939394
1567,Paraguay,sydney-2000,0,0,0,2,2000,summer,8195993230.74275
1569,Bahrain,sydney-2000,0,0,0,1,2000,summer,9062906914.89362
1570,Equatorial Guinea,sydney-2000,0,0,0,1,2000,summer,1045998496.4387199
1571,Niger,sydney-2000,0,0,0,1,2000,summer,1798374468.3636198
1573,Dominica,sydney-2000,0,0,0,1,2000,summer,335845814.814815
1574,Maldives,sydney-2000,0,0,0,1,2000,summer,624337145.284622
1576,Mali,sydney-2000,0,0,0,1,2000,summer,2954129565.82965
1577,Grenada,sydney-2000,0,0,0,1,2000,summer,520044370.37037003
1578,Benin,sydney-2000,0,0,0,2,2000,summer,2569186642.86999
930,Uzbekistan,beijing-2008,0,1,3,14,2008,summer,29549438883.8338
1557,Sudan,sydney-2000,0,0,0,2,2000,summer,12257418326.0734
1539,Burundi,sydney-2000,0,0,0,1,2000,summer,870486065.883137
1540,Rwanda,sydney-2000,0,0,0,2,2000,summer,1734938264.47371
1541,Lesotho,sydney-2000,0,0,0,3,2000,summer,887295267.8751551
1543,Trinidad and Tobago,sydney-2000,0,1,1,3,2000,summer,8154338232.95978
1544,Swaziland,sydney-2000,0,0,0,4,2000,summer,1738100853.05052
1547,Tajikistan,sydney-2000,0,0,0,2,2000,summer,860550305.832491
1548,Bolivia,sydney-2000,0,0,0,3,2000,summer,8397912509.09679
1549,Botswana,sydney-2000,0,0,0,2,2000,summer,5788329609.15755
1550,Cambodia,sydney-2000,0,0,0,2,2000,summer,3654031716.2688103
1551,Libya,sydney-2000,0,0,0,2,2000,summer,38270206950.41
1553,Aruba,sydney-2000,0,0,0,2,2000,summer,1873452513.96648
1554,Djibouti,sydney-2000,0,0,0,1,2000,summer,551230861.856505
931,Serbia,beijing-2008,0,1,2,11,2008,summer,49259526052.7426
1556,Haiti,sydney-2000,0,0,0,2,2000,summer,3953839593.7842703
929,Croatia,beijing-2008,0,2,3,16,2008,summer,70481451814.3118
928,Namibia,beijing-2008,0,0,0,4,2008,summer,8486721916.9128
926,Lithuania,beijing-2008,0,3,2,15,2008,summer,47850551148.8365
918,Samoa,beijing-2008,0,1,0,3,2008,summer,644132488.887141
925,Pakistan,beijing-2008,0,0,0,3,2008,summer,170077814106.305
924,Mauritius,beijing-2008,0,0,1,7,2008,summer,9990370016.307709
923,Tajikistan,beijing-2008,0,1,1,8,2008,summer,5161336170.46084
922,Cyprus,beijing-2008,0,0,0,6,2008,summer,27839460963.8201
916,Bhutan,beijing-2008,0,0,0,1,2008,summer,1258332337.28382
933,Costa Rica,beijing-2008,0,0,0,4,2008,summer,30612932802.8991
1821,Botswana,atlanta-1996,0,0,0,2,1996,summer,4847752842.78924
942,Nigeria,beijing-2008,0,2,3,10,2008,summer,208064753766.47
1470,Namibia,sydney-2000,0,0,0,5,2000,summer,3908661517.6229897
1471,Costa Rica,sydney-2000,0,0,2,5,2000,summer,14949514585.1585
940,Papua New Guinea,beijing-2008,0,0,0,4,2008,summer,11670678863.7458
939,Vietnam,beijing-2008,0,1,0,7,2008,summer,99130304099.1274
937,Montenegro,beijing-2008,0,0,0,6,2008,summer,4545674527.61096
936,Bolivia,beijing-2008,0,0,0,5,2008,summer,16674324634.2373
1479,El Salvador,sydney-2000,0,0,0,6,2000,summer,13134100000.0
935,Libya,beijing-2008,0,0,0,5,2008,summer,87140405361.2292
1481,Singapore,sydney-2000,0,0,0,4,2000,summer,95833932714.6172
1482,Luxembourg,sydney-2000,0,0,0,4,2000,summer,21263514833.2412
1483,Uganda,sydney-2000,0,0,0,5,2000,summer,6193246837.09687
934,El Salvador,beijing-2008,0,0,0,10,2008,summer,21430950000.0
1485,Jordan,sydney-2000,0,0,0,5,2000,summer,8460424400.564179
1486,Qatar,sydney-2000,0,0,1,5,2000,summer,17759890109.8901
1487,Saudi Arabia,sydney-2000,0,1,1,5,2000,summer,189514926213.333
1488,Philippines,sydney-2000,0,0,0,8,2000,summer,81026297144.2795
941,Afghanistan,beijing-2008,0,0,1,1,2008,summer,10190529882.4878
1467,Kuwait,sydney-2000,0,0,1,5,2000,summer,37711864406.7797
1534,Jamaica,sydney-2000,0,6,3,4,2000,summer,8929375580.315691
1445,India,sydney-2000,0,0,1,12,2000,summer,462146799336.77
1446,Mauritius,sydney-2000,0,0,0,7,2000,summer,4582555124.64952
954,Marshall Islands,beijing-2008,0,0,0,2,2008,summer,152788700.0
953,Honduras,beijing-2008,0,0,0,4,2008,summer,13789715132.501999
952,Gabon,beijing-2008,0,0,0,2,2008,summer,15508574820.3516
950,Nepal,beijing-2008,0,0,0,6,2008,summer,12545438605.3959
948,Guinea,beijing-2008,0,0,0,2,2008,summer,6963961726.24368
1454,Ireland,sydney-2000,0,1,0,12,2000,summer,99853528745.1631
1456,Morocco,sydney-2000,0,1,4,8,2000,summer,38857251336.3448
