Nation,Olympic,Gold,Silver,Bronze,event_count
Argentina,barcelona-1992,0,0,1,16
Venezuela,barcelona-1992,0,0,0,7
Belgium,barcelona-1992,0,1,2,17
Guatemala,barcelona-1992,0,0,0,7
Lithuania,barcelona-1992,1,0,1,12
Mexico,barcelona-1992,0,1,0,17
Great Britain,barcelona-1992,5,3,12,26
Nicaragua,barcelona-1992,0,0,0,6
Indonesia,barcelona-1992,2,2,1,9
Netherlands,barcelona-1992,2,6,7,23
Denmark,barcelona-1992,1,1,4,17
Slovenia,barcelona-1992,0,0,2,11
Ireland,barcelona-1992,1,1,0,14
Bhutan,barcelona-1992,0,0,0,1
"Hong Kong, China",barcelona-1992,0,0,0,9
San Marino,barcelona-1992,0,0,0,7
Chinese Taipei,barcelona-1992,0,1,0,7
Luxembourg,barcelona-1992,0,0,0,4
Costa Rica,barcelona-1992,0,0,0,6
Angola,barcelona-1992,0,0,0,6
Peru,barcelona-1992,0,1,0,8
Thailand,barcelona-1992,0,0,1,8
Mauritius,barcelona-1992,0,0,0,3
Malaysia,barcelona-1992,0,0,1,6
Iceland,barcelona-1992,0,0,0,6
Singapore,barcelona-1992,0,0,0,6
Sri Lanka,barcelona-1992,0,0,0,5
Jamaica,barcelona-1992,0,3,1,6
United Arab Emirates,barcelona-1992,0,0,0,3
Ivory Coast,barcelona-1992,0,0,0,2
Bahamas,barcelona-1992,0,0,1,4
Bermuda,barcelona-1992,0,0,0,5
Kenya,barcelona-1992,2,4,2,5
Ethiopia,barcelona-1992,1,0,2,2
Djibouti,barcelona-1992,0,0,0,3
Lesotho,barcelona-1992,0,0,0,1
United Republic of Tanzania,barcelona-1992,0,0,0,2
Swaziland,barcelona-1992,0,0,0,2
Ecuador,barcelona-1992,0,0,0,7
Cameroon,barcelona-1992,0,0,0,3
Democratic Republic of the Congo,barcelona-1992,0,0,0,4
Philippines,barcelona-1992,0,0,1,9
Aruba,barcelona-1992,0,0,0,3
Uruguay,barcelona-1992,0,0,0,10
Bolivia,barcelona-1992,0,0,0,6
Zimbabwe,barcelona-1992,0,0,0,5
Rwanda,barcelona-1992,0,0,0,2
Chile,barcelona-1992,0,0,0,7
Malawi,barcelona-1992,0,0,0,1
Niger,barcelona-1992,0,0,0,1
Liechtenstein,barcelona-1992,0,0,0,5
Namibia,barcelona-1992,0,2,0,3
Nepal,barcelona-1992,0,0,0,2
Central African Republic,barcelona-1992,0,0,0,3
Libya,barcelona-1992,0,0,0,4
Haiti,barcelona-1992,0,0,0,2
Myanmar,barcelona-1992,0,0,0,2
US Virgin Islands,barcelona-1992,0,0,0,7
Bahrain,barcelona-1992,0,0,0,2
Madagascar,barcelona-1992,0,0,0,6
Uganda,barcelona-1992,0,0,0,3
Botswana,barcelona-1992,0,0,0,2
Vietnam,barcelona-1992,0,0,0,3
Maldives,barcelona-1992,0,0,0,2
Honduras,barcelona-1992,0,0,0,4
Mauritania,barcelona-1992,0,0,0,1
Fiji,barcelona-1992,0,0,0,4
Trinidad and Tobago,barcelona-1992,0,0,0,2
Qatar,barcelona-1992,0,0,1,2
Vanuatu,barcelona-1992,0,0,0,1
Sierra Leone,barcelona-1992,0,0,0,1
Albania,barcelona-1992,0,0,0,4
Lao People's Democratic Republic,barcelona-1992,0,0,0,2
Mozambique,barcelona-1992,0,0,0,2
Gambia,barcelona-1992,0,0,0,1
Papua New Guinea,barcelona-1992,0,0,0,4
Tonga,barcelona-1992,0,0,0,2
Yemen,barcelona-1992,0,0,0,2
Bosnia and Herzegovina,barcelona-1992,0,0,0,5
Lebanon,barcelona-1992,0,0,0,6
American Samoa,barcelona-1992,0,0,0,2
Iraq,barcelona-1992,0,0,0,3
Samoa,barcelona-1992,0,0,0,2
Kuwait,barcelona-1992,0,0,0,6
Cook Islands,barcelona-1992,0,0,0,1
Solomon Islands,barcelona-1992,0,0,0,1
Sudan,barcelona-1992,0,0,0,2
Andorra,barcelona-1992,0,0,0,4
Antigua and Barbuda,barcelona-1992,0,0,0,3
Belize,barcelona-1992,0,0,0,1
Benin,barcelona-1992,0,0,0,1
Cayman Islands,barcelona-1992,0,0,0,3
Guyana,barcelona-1992,0,0,0,3
Togo,barcelona-1992,0,0,0,1
Suriname,barcelona-1992,0,0,1,2
Saudi Arabia,barcelona-1992,0,0,0,4
Guinea,barcelona-1992,0,0,0,1
Zambia,barcelona-1992,0,0,0,2
Burkina Faso,barcelona-1992,0,0,0,1
Gabon,barcelona-1992,0,0,0,2
Mali,barcelona-1992,0,0,0,1
Chad,barcelona-1992,0,0,0,1
Paraguay,barcelona-1992,0,0,0,5
El Salvador,barcelona-1992,0,0,0,2
Malta,barcelona-1992,0,0,0,3
Netherlands Antilles,barcelona-1992,0,0,0,2
Barbados,barcelona-1992,0,0,0,4
Seychelles,barcelona-1992,0,0,0,3
British Virgin Islands,barcelona-1992,0,0,0,1
Ghana,barcelona-1992,0,0,1,3
Jordan,barcelona-1992,0,0,0,2
Monaco,barcelona-1992,0,0,0,2
Bangladesh,barcelona-1992,0,0,0,2
Oman,barcelona-1992,0,0,0,1
Congo,barcelona-1992,0,0,0,1
Norway,albertville-1992,9,6,5,11
Italy,albertville-1992,4,6,4,11
Sweden,albertville-1992,1,0,3,8
Unified Team,albertville-1992,9,6,8,12
Austria,albertville-1992,6,7,8,10
Finland,albertville-1992,3,1,3,9
Czechoslovakia,albertville-1992,0,0,3,11
Germany,albertville-1992,10,10,6,11
Estonia,albertville-1992,0,0,0,4
France,albertville-1992,3,5,1,12
United States of America,albertville-1992,5,4,2,12
Japan,albertville-1992,1,2,4,11
Switzerland,albertville-1992,1,0,2,8
Liechtenstein,albertville-1992,0,0,0,2
Spain,albertville-1992,0,0,1,4
Australia,albertville-1992,0,0,0,9
Canada,albertville-1992,2,3,2,11
Poland,albertville-1992,0,0,0,9
Lithuania,albertville-1992,0,0,0,3
Republic of Korea,albertville-1992,2,1,1,6
Denmark,albertville-1992,0,0,0,3
Romania,albertville-1992,0,0,0,7
Great Britain,albertville-1992,0,0,0,9
Slovenia,albertville-1992,0,0,0,5
Bulgaria,albertville-1992,0,0,0,7
Iceland,albertville-1992,0,0,0,2
Croatia,albertville-1992,0,0,0,2
People's Republic of China,albertville-1992,0,3,0,6
Democratic People's Republic of Korea,albertville-1992,0,0,1,5
Yugoslavia,albertville-1992,0,0,0,6
Mongolia,albertville-1992,0,0,0,2
Latvia,albertville-1992,0,0,0,6
Greece,albertville-1992,0,0,0,3
Turkey,albertville-1992,0,0,0,2
Hungary,albertville-1992,0,0,0,6
Argentina,albertville-1992,0,0,0,5
Mexico,albertville-1992,0,0,0,3
Morocco,albertville-1992,0,0,0,2
San Marino,albertville-1992,0,0,0,2
Honduras,albertville-1992,0,0,0,1
Netherlands,albertville-1992,1,1,2,3
Puerto Rico,albertville-1992,0,0,0,2
US Virgin Islands,albertville-1992,0,0,0,3
Bermuda,albertville-1992,0,0,0,1
Andorra,albertville-1992,0,0,0,1
Cyprus,albertville-1992,0,0,0,1
Brazil,albertville-1992,0,0,0,1
Philippines,albertville-1992,0,0,0,1
Bolivia,albertville-1992,0,0,0,1
Lebanon,albertville-1992,0,0,0,1
India,albertville-1992,0,0,0,1
Costa Rica,albertville-1992,0,0,0,1
Senegal,albertville-1992,0,0,0,1
New Zealand,albertville-1992,0,1,0,2
Swaziland,albertville-1992,0,0,0,1
Chinese Taipei,albertville-1992,0,0,0,3
Algeria,albertville-1992,0,0,0,1
Luxembourg,albertville-1992,0,2,0,1
Chile,albertville-1992,0,0,0,1
Monaco,albertville-1992,0,0,0,1
Ireland,albertville-1992,0,0,0,1
Jamaica,albertville-1992,0,0,0,1
Netherlands Antilles,albertville-1992,0,0,0,1
Belgium,albertville-1992,0,0,0,1
Canada,seoul-1988,3,2,5,26
United States of America,seoul-1988,36,31,27,29
Japan,seoul-1988,4,3,7,26
France,seoul-1988,6,4,6,24
Switzerland,seoul-1988,0,2,2,17
Soviet Union,seoul-1988,55,31,46,29
Great Britain,seoul-1988,5,10,9,22
Mexico,seoul-1988,0,0,2,16
People's Republic of China,seoul-1988,5,11,12,25
Federal Republic of Germany,seoul-1988,11,14,15,27
Republic of Korea,seoul-1988,12,10,11,27
Brazil,seoul-1988,1,2,3,21
Australia,seoul-1988,3,6,5,26
Spain,seoul-1988,1,1,2,26
Aruba,seoul-1988,0,0,0,5
Sweden,seoul-1988,0,4,7,22
Venezuela,seoul-1988,0,0,0,8
Belgium,seoul-1988,0,0,2,13
Netherlands,seoul-1988,2,2,5,19
Argentina,seoul-1988,0,1,1,16
Pakistan,seoul-1988,0,0,1,5
India,seoul-1988,0,0,0,10
Kenya,seoul-1988,5,2,2,7
Finland,seoul-1988,1,1,2,14
Czechoslovakia,seoul-1988,3,3,2,18
German Democratic Republic (Germany),seoul-1988,37,35,30,17
Yugoslavia,seoul-1988,3,4,5,17
Romania,seoul-1988,7,11,6,10
Morocco,seoul-1988,1,0,2,4
Bulgaria,seoul-1988,10,12,13,16
Chinese Taipei,seoul-1988,0,0,0,13
Papua New Guinea,seoul-1988,0,0,0,4
Fiji,seoul-1988,0,0,0,5
Nigeria,seoul-1988,0,0,0,8
Jamaica,seoul-1988,0,2,0,6
Trinidad and Tobago,seoul-1988,0,0,0,3
Oman,seoul-1988,0,0,0,3
Italy,seoul-1988,6,4,4,24
Hungary,seoul-1988,11,6,6,20
Senegal,seoul-1988,0,1,0,4
Djibouti,seoul-1988,0,0,1,2
United Republic of Tanzania,seoul-1988,0,0,0,2
New Zealand,seoul-1988,3,2,8,17
Haiti,seoul-1988,0,0,0,2
Denmark,seoul-1988,2,1,1,15
Ireland,seoul-1988,0,0,0,12
Portugal,seoul-1988,1,0,0,11
Turkey,seoul-1988,1,1,0,9
Botswana,seoul-1988,0,0,0,2
Algeria,seoul-1988,0,0,0,7
Luxembourg,seoul-1988,0,0,0,4
Colombia,seoul-1988,0,0,1,11
Costa Rica,seoul-1988,0,1,0,6
Central African Republic,seoul-1988,0,0,0,3
Swaziland,seoul-1988,0,0,0,4
Niger,seoul-1988,0,0,0,2
American Samoa,seoul-1988,0,0,0,4
Nepal,seoul-1988,0,0,0,5
Lesotho,seoul-1988,0,0,0,2
Uganda,seoul-1988,0,0,0,3
Sri Lanka,seoul-1988,0,0,0,3
Bolivia,seoul-1988,0,0,0,6
Zimbabwe,seoul-1988,0,0,0,11
Democratic Republic of the Congo,seoul-1988,0,0,0,3
Angola,seoul-1988,0,0,0,4
US Virgin Islands,seoul-1988,0,1,0,6
Rwanda,seoul-1988,0,0,0,1
Belize,seoul-1988,0,0,0,2
Guam,seoul-1988,0,0,0,7
Malawi,seoul-1988,0,0,0,3
Somalia,seoul-1988,0,0,0,1
Islamic Republic of Iran,seoul-1988,0,1,0,4
Sierra Leone,seoul-1988,0,0,0,4
Guinea,seoul-1988,0,0,0,3
Vietnam,seoul-1988,0,0,0,6
Norway,seoul-1988,2,3,0,11
Chile,seoul-1988,0,1,0,5
Solomon Islands,seoul-1988,0,0,0,4
Maldives,seoul-1988,0,0,0,1
Austria,seoul-1988,1,0,0,17
Poland,seoul-1988,2,5,9,19
El Salvador,seoul-1988,0,0,0,4
Ecuador,seoul-1988,0,0,0,5
Honduras,seoul-1988,0,0,0,3
Mauritius,seoul-1988,0,0,0,5
Myanmar,seoul-1988,0,0,0,1
Saint Vincent and the Grenadines,seoul-1988,0,0,0,2
Bahamas,seoul-1988,0,0,0,4
Antigua and Barbuda,seoul-1988,0,0,0,4
Bermuda,seoul-1988,0,0,0,6
Liberia,seoul-1988,0,0,0,2
Togo,seoul-1988,0,0,0,2
Sudan,seoul-1988,0,0,0,2
Cook Islands,seoul-1988,0,0,0,3
Cayman Islands,seoul-1988,0,0,0,3
Guatemala,seoul-1988,0,0,0,8
Grenada,seoul-1988,0,0,0,2
Cyprus,seoul-1988,0,0,0,4
Bahrain,seoul-1988,0,0,0,2
"Hong Kong, China",seoul-1988,0,0,0,8
Kuwait,seoul-1988,0,0,0,4
Egypt,seoul-1988,0,0,0,11
Lebanon,seoul-1988,0,0,0,7
Paraguay,seoul-1988,0,0,0,4
Indonesia,seoul-1988,0,1,0,10
Jordan,seoul-1988,0,0,0,5
Monaco,seoul-1988,0,0,0,6
Philippines,seoul-1988,0,0,1,10
Greece,seoul-1988,0,0,1,9
Uruguay,seoul-1988,0,0,0,8
Puerto Rico,seoul-1988,0,0,0,10
Zambia,seoul-1988,0,0,0,2
Tunisia,seoul-1988,0,0,0,5
Iraq,seoul-1988,0,0,0,4
United Arab Emirates,seoul-1988,0,0,0,2
Andorra,seoul-1988,0,0,0,1
Liechtenstein,seoul-1988,0,0,0,5
Suriname,seoul-1988,1,0,0,4
Malaysia,seoul-1988,0,0,0,5
Guyana,seoul-1988,0,0,0,2
Libya,seoul-1988,0,0,0,2
Barbados,seoul-1988,0,0,0,5
Israel,seoul-1988,0,0,0,6
Ivory Coast,seoul-1988,0,0,0,3
Bhutan,seoul-1988,0,0,0,1
Saudi Arabia,seoul-1988,0,0,0,2
Mongolia,seoul-1988,0,0,1,5
Malta,seoul-1988,0,0,0,4
Dominican Republic,seoul-1988,0,0,0,4
Cameroon,seoul-1988,0,0,0,3
Panama,seoul-1988,0,0,0,3
Samoa,seoul-1988,0,0,0,3
San Marino,seoul-1988,0,0,0,5
Syrian Arab Republic,seoul-1988,0,0,0,3
Peru,seoul-1988,0,1,0,6
Yemen Arab Republic,seoul-1988,0,0,0,2
Iceland,seoul-1988,0,0,0,4
Mali,seoul-1988,0,0,0,2
Benin,seoul-1988,0,0,0,1
Ghana,seoul-1988,0,0,0,2
Yemen Democratic Republic,seoul-1988,0,0,0,1
Thailand,seoul-1988,0,0,1,3
Mozambique,seoul-1988,0,0,0,2
Gabon,seoul-1988,0,0,0,1
Burkina Faso,seoul-1988,0,0,0,1
Tonga,seoul-1988,0,0,0,1
Lao People's Democratic Republic,seoul-1988,0,0,0,1
Vanuatu,seoul-1988,0,0,0,1
Singapore,seoul-1988,0,0,0,3
Netherlands Antilles,seoul-1988,0,1,0,3
Bangladesh,seoul-1988,0,0,0,1
British Virgin Islands,seoul-1988,0,0,0,1
Qatar,seoul-1988,0,0,0,2
Afghanistan,seoul-1988,0,0,0,1
Mauritania,seoul-1988,0,0,0,1
Gambia,seoul-1988,0,0,0,1
Finland,calgary-1988,4,1,2,7
Norway,calgary-1988,0,3,2,7
Yugoslavia,calgary-1988,0,2,1,7
Federal Republic of Germany,calgary-1988,2,4,2,10
Czechoslovakia,calgary-1988,0,1,2,9
Austria,calgary-1988,3,5,2,10
Canada,calgary-1988,0,2,3,10
Sweden,calgary-1988,4,0,2,9
Poland,calgary-1988,0,0,0,6
German Democratic Republic (Germany),calgary-1988,9,10,6,8
France,calgary-1988,1,0,1,9
Switzerland,calgary-1988,5,5,5,7
United States of America,calgary-1988,2,1,3,10
Japan,calgary-1988,0,0,1,9
Italy,calgary-1988,2,1,2,8
Bulgaria,calgary-1988,0,0,0,6
Spain,calgary-1988,0,0,0,5
Great Britain,calgary-1988,0,0,0,8
Soviet Union,calgary-1988,11,9,9,10
Denmark,calgary-1988,0,0,0,1
Australia,calgary-1988,0,0,0,6
People's Republic of China,calgary-1988,0,0,0,3
Republic of Korea,calgary-1988,0,0,0,5
Hungary,calgary-1988,0,0,0,3
Belgium,calgary-1988,0,0,0,1
Romania,calgary-1988,0,0,0,4
New Zealand,calgary-1988,0,0,0,3
Chinese Taipei,calgary-1988,0,0,0,3
Portugal,calgary-1988,0,0,0,1
Jamaica,calgary-1988,0,0,0,1
Monaco,calgary-1988,0,0,0,2
Netherlands Antilles,calgary-1988,0,0,0,2
US Virgin Islands,calgary-1988,0,0,0,3
Mexico,calgary-1988,0,0,0,3
Netherlands,calgary-1988,3,2,2,2
Democratic People's Republic of Korea,calgary-1988,0,0,0,1
Liechtenstein,calgary-1988,0,0,1,3
Iceland,calgary-1988,0,0,0,2
Mongolia,calgary-1988,0,0,0,1
Greece,calgary-1988,0,0,0,2
Argentina,calgary-1988,0,0,0,4
Turkey,calgary-1988,0,0,0,2
Guatemala,calgary-1988,0,0,0,2
San Marino,calgary-1988,0,0,0,2
Costa Rica,calgary-1988,0,0,0,2
Puerto Rico,calgary-1988,0,0,0,4
Fiji,calgary-1988,0,0,0,1
Guam,calgary-1988,0,0,0,1
Philippines,calgary-1988,0,0,0,1
Lebanon,calgary-1988,0,0,0,1
Chile,calgary-1988,0,0,0,1
Andorra,calgary-1988,0,0,0,1
Cyprus,calgary-1988,0,0,0,1
Luxembourg,calgary-1988,0,0,0,1
India,calgary-1988,0,0,0,1
Bolivia,calgary-1988,0,0,0,1
Morocco,calgary-1988,0,0,0,1
People's Republic of China,los-angeles-1984,15,8,9,17
Federal Republic of Germany,los-angeles-1984,17,19,23,28
Italy,los-angeles-1984,14,6,12,25
Romania,los-angeles-1984,20,16,17,13
France,los-angeles-1984,5,7,16,22
Great Britain,los-angeles-1984,5,11,21,22
Sweden,los-angeles-1984,2,11,6,21
Israel,los-angeles-1984,0,0,0,9
United States of America,los-angeles-1984,83,61,30,28
Republic of Korea,los-angeles-1984,6,6,7,17
Canada,los-angeles-1984,10,18,16,26
Japan,los-angeles-1984,10,8,14,24
Australia,los-angeles-1984,4,8,12,24
Mexico,los-angeles-1984,2,3,1,21
Argentina,los-angeles-1984,0,0,0,14
Haiti,los-angeles-1984,0,0,0,2
US Virgin Islands,los-angeles-1984,0,0,0,7
Panama,los-angeles-1984,0,0,0,4
Austria,los-angeles-1984,1,1,1,19
Belgium,los-angeles-1984,1,1,2,13
Kuwait,los-angeles-1984,0,0,0,3
Egypt,los-angeles-1984,0,1,0,14
Lebanon,los-angeles-1984,0,0,0,8
"Hong Kong, China",los-angeles-1984,0,0,0,8
Greece,los-angeles-1984,0,1,1,11
Venezuela,los-angeles-1984,0,0,3,9
Spain,los-angeles-1984,1,2,2,22
Monaco,los-angeles-1984,0,0,0,5
Portugal,los-angeles-1984,1,0,2,10
Turkey,los-angeles-1984,0,0,3,10
Puerto Rico,los-angeles-1984,0,1,1,14
Saudi Arabia,los-angeles-1984,0,0,0,5
Chinese Taipei,los-angeles-1984,0,0,1,12
Bolivia,los-angeles-1984,0,0,0,6
Norway,los-angeles-1984,0,1,2,17
Jordan,los-angeles-1984,0,0,0,3
Switzerland,los-angeles-1984,0,4,4,20
New Zealand,los-angeles-1984,8,1,2,18
Ireland,los-angeles-1984,0,1,0,10
Bermuda,los-angeles-1984,0,0,0,4
Peru,los-angeles-1984,0,1,0,10
Brazil,los-angeles-1984,1,5,2,16
Tunisia,los-angeles-1984,0,0,0,6
Chile,los-angeles-1984,0,0,0,9
Guatemala,los-angeles-1984,0,0,0,8
Yugoslavia,los-angeles-1984,7,4,7,16
Denmark,los-angeles-1984,0,3,3,12
Finland,los-angeles-1984,4,2,6,15
Netherlands,los-angeles-1984,5,2,6,16
Jamaica,los-angeles-1984,0,1,2,6
Colombia,los-angeles-1984,0,1,0,9
Costa Rica,los-angeles-1984,0,0,0,5
Philippines,los-angeles-1984,0,0,0,6
Bahamas,los-angeles-1984,0,0,0,4
Fiji,los-angeles-1984,0,0,0,5
Honduras,los-angeles-1984,0,0,0,3
Barbados,los-angeles-1984,0,0,0,6
San Marino,los-angeles-1984,0,0,0,6
Mozambique,los-angeles-1984,0,0,0,1
Trinidad and Tobago,los-angeles-1984,0,0,0,5
Iceland,los-angeles-1984,0,0,1,5
Singapore,los-angeles-1984,0,0,0,2
Netherlands Antilles,los-angeles-1984,0,0,0,2
Indonesia,los-angeles-1984,0,0,0,5
Suriname,los-angeles-1984,0,0,0,2
Bahrain,los-angeles-1984,0,0,0,3
Swaziland,los-angeles-1984,0,0,0,4
Uganda,los-angeles-1984,0,0,0,5
Uruguay,los-angeles-1984,0,0,0,5
El Salvador,los-angeles-1984,0,0,0,5
Malaysia,los-angeles-1984,0,0,0,4
Sri Lanka,los-angeles-1984,0,0,0,3
Malta,los-angeles-1984,0,0,0,4
Thailand,los-angeles-1984,0,1,0,4
Antigua and Barbuda,los-angeles-1984,0,0,0,2
Senegal,los-angeles-1984,0,0,0,5
Dominican Republic,los-angeles-1984,0,0,1,6
Oman,los-angeles-1984,0,0,0,3
Pakistan,los-angeles-1984,1,0,0,4
British Virgin Islands,los-angeles-1984,0,0,0,1
Zimbabwe,los-angeles-1984,0,0,0,5
Botswana,los-angeles-1984,0,0,0,2
India,los-angeles-1984,0,0,0,7
Cayman Islands,los-angeles-1984,0,0,0,3
Ecuador,los-angeles-1984,0,0,0,6
Morocco,los-angeles-1984,2,0,0,6
Zambia,los-angeles-1984,0,0,1,2
Cameroon,los-angeles-1984,0,0,1,6
Ivory Coast,los-angeles-1984,0,1,0,3
Guinea,los-angeles-1984,0,0,0,1
Cyprus,los-angeles-1984,0,0,0,4
Mali,los-angeles-1984,0,0,0,2
Congo,los-angeles-1984,0,0,0,2
Paraguay,los-angeles-1984,0,0,0,4
Liechtenstein,los-angeles-1984,0,0,0,3
Belize,los-angeles-1984,0,0,0,2
Guyana,los-angeles-1984,0,0,0,2
Malawi,los-angeles-1984,0,0,0,3
Kenya,los-angeles-1984,1,0,2,5
Samoa,los-angeles-1984,0,0,0,2
Nigeria,los-angeles-1984,0,1,1,4
Nicaragua,los-angeles-1984,0,0,0,2
Syrian Arab Republic,los-angeles-1984,0,1,0,4
Nepal,los-angeles-1984,0,0,0,3
Algeria,los-angeles-1984,0,0,2,4
Solomon Islands,los-angeles-1984,0,0,0,2
Iraq,los-angeles-1984,0,0,0,4
Qatar,los-angeles-1984,0,0,0,3
United Republic of Tanzania,los-angeles-1984,0,0,0,2
Ghana,los-angeles-1984,0,0,0,2
Gabon,los-angeles-1984,0,0,0,2
Djibouti,los-angeles-1984,0,0,0,1
Lesotho,los-angeles-1984,0,0,0,2
Somalia,los-angeles-1984,0,0,0,1
Luxembourg,los-angeles-1984,0,0,0,3
Papua New Guinea,los-angeles-1984,0,0,0,2
Central African Republic,los-angeles-1984,0,0,0,2
Madagascar,los-angeles-1984,0,0,0,2
Liberia,los-angeles-1984,0,0,0,1
Democratic Republic of the Congo,los-angeles-1984,0,0,0,2
Sudan,los-angeles-1984,0,0,0,2
Sierra Leone,los-angeles-1984,0,0,0,2
Mauritius,los-angeles-1984,0,0,0,1
Yemen Arab Republic,los-angeles-1984,0,0,0,1
Andorra,los-angeles-1984,0,0,0,1
Mauritania,los-angeles-1984,0,0,0,1
Seychelles,los-angeles-1984,0,0,0,1
Tonga,los-angeles-1984,0,0,0,1
Benin,los-angeles-1984,0,0,0,1
Niger,los-angeles-1984,0,0,0,1
Grenada,los-angeles-1984,0,0,0,1
Togo,los-angeles-1984,0,0,0,1
Myanmar,los-angeles-1984,0,0,0,1
Bhutan,los-angeles-1984,0,0,0,1
Federal Republic of Germany,sarajevo-1984,2,1,1,10
German Democratic Republic (Germany),sarajevo-1984,9,9,6,8
Norway,sarajevo-1984,3,2,4,8
France,sarajevo-1984,0,1,2,7
Sweden,sarajevo-1984,4,2,2,8
Italy,sarajevo-1984,2,0,0,9
Czechoslovakia,sarajevo-1984,0,2,4,8
Finland,sarajevo-1984,4,3,6,6
Bulgaria,sarajevo-1984,0,0,0,5
Great Britain,sarajevo-1984,1,0,0,7
Soviet Union,sarajevo-1984,6,10,9,10
United States of America,sarajevo-1984,4,4,0,10
Austria,sarajevo-1984,0,0,1,9
Switzerland,sarajevo-1984,2,2,1,8
Japan,sarajevo-1984,0,1,0,9
Yugoslavia,sarajevo-1984,0,1,0,10
Romania,sarajevo-1984,0,0,0,6
Hungary,sarajevo-1984,0,0,0,4
Australia,sarajevo-1984,0,0,0,5
People's Republic of China,sarajevo-1984,0,0,0,5
Argentina,sarajevo-1984,0,0,0,3
Spain,sarajevo-1984,0,0,0,5
Chinese Taipei,sarajevo-1984,0,0,0,5
Republic of Korea,sarajevo-1984,0,0,0,5
Costa Rica,sarajevo-1984,0,0,0,3
Liechtenstein,sarajevo-1984,0,0,2,3
Puerto Rico,sarajevo-1984,0,0,0,1
Canada,sarajevo-1984,2,1,1,8
New Zealand,sarajevo-1984,0,0,0,1
Belgium,sarajevo-1984,0,0,0,2
Poland,sarajevo-1984,0,0,0,6
Iceland,sarajevo-1984,0,0,0,2
Cyprus,sarajevo-1984,0,0,0,1
Bolivia,sarajevo-1984,0,0,0,1
Chile,sarajevo-1984,0,0,0,1
Mexico,sarajevo-1984,0,0,0,1
Greece,sarajevo-1984,0,0,0,2
Turkey,sarajevo-1984,0,0,0,2
Senegal,sarajevo-1984,0,0,0,1
Lebanon,sarajevo-1984,0,0,0,1
Morocco,sarajevo-1984,0,0,0,1
San Marino,sarajevo-1984,0,0,0,2
Egypt,sarajevo-1984,0,0,0,1
Andorra,sarajevo-1984,0,0,0,1
Monaco,sarajevo-1984,0,0,0,1
Netherlands,sarajevo-1984,0,0,0,2
Democratic People's Republic of Korea,sarajevo-1984,0,0,0,1
British Virgin Islands,sarajevo-1984,0,0,0,1
Mongolia,sarajevo-1984,0,0,0,1
German Democratic Republic (Germany),moscow-1980,47,37,42,18
Soviet Union,moscow-1980,80,69,46,26
Romania,moscow-1980,6,6,13,21
Hungary,moscow-1980,7,10,15,23
Spain,moscow-1980,1,3,2,18
Yugoslavia,moscow-1980,2,3,4,17
Poland,moscow-1980,3,14,15,24
Switzerland,moscow-1980,2,0,0,9
Denmark,moscow-1980,2,1,2,13
Algeria,moscow-1980,0,0,0,9
Cuba,moscow-1980,8,7,5,19
Kuwait,moscow-1980,0,0,0,6
Czechoslovakia,moscow-1980,2,3,9,22
Congo,moscow-1980,0,0,0,3
Syrian Arab Republic,moscow-1980,0,0,0,7
Finland,moscow-1980,3,1,4,17
Sweden,moscow-1980,3,3,6,18
Great Britain,moscow-1980,5,7,9,15
Iceland,moscow-1980,0,0,0,3
Zimbabwe,moscow-1980,1,0,0,10
Lebanon,moscow-1980,0,0,1,7
Bulgaria,moscow-1980,8,16,17,23
Austria,moscow-1980,1,2,1,15
Mexico,moscow-1980,0,1,3,13
Italy,moscow-1980,8,3,4,20
Mongolia,moscow-1980,0,2,2,8
Nigeria,moscow-1980,0,0,0,5
France,moscow-1980,6,5,3,14
Iraq,moscow-1980,0,0,0,5
Nepal,moscow-1980,0,0,0,3
Brazil,moscow-1980,2,0,2,15
Democratic People's Republic of Korea,moscow-1980,0,3,2,8
Greece,moscow-1980,1,0,2,7
Venezuela,moscow-1980,0,1,0,6
Belgium,moscow-1980,1,0,0,11
Portugal,moscow-1980,0,0,0,5
Libya,moscow-1980,0,0,0,6
India,moscow-1980,1,0,0,8
Guatemala,moscow-1980,0,0,0,4
Australia,moscow-1980,2,2,5,18
Myanmar,moscow-1980,0,0,0,2
Dominican Republic,moscow-1980,0,0,0,3
San Marino,moscow-1980,0,0,0,5
Senegal,moscow-1980,0,0,0,3
Netherlands,moscow-1980,0,1,2,10
Cameroon,moscow-1980,0,0,0,5
Zambia,moscow-1980,0,0,0,4
Cyprus,moscow-1980,0,0,0,3
Ecuador,moscow-1980,0,0,0,4
Ireland,moscow-1980,0,1,1,10
Costa Rica,moscow-1980,0,0,0,5
Mali,moscow-1980,0,0,0,2
Madagascar,moscow-1980,0,0,0,3
Guinea,moscow-1980,0,0,0,2
Colombia,moscow-1980,0,0,0,3
Ethiopia,moscow-1980,2,0,2,3
Jamaica,moscow-1980,0,0,3,3
Malta,moscow-1980,0,0,0,3
Guyana,moscow-1980,0,0,1,3
Afghanistan,moscow-1980,0,0,0,2
Vietnam,moscow-1980,0,0,0,4
Peru,moscow-1980,0,0,0,5
New Zealand,moscow-1980,0,0,0,2
Luxembourg,moscow-1980,0,0,0,3
United Republic of Tanzania,moscow-1980,0,2,0,3
Lesotho,moscow-1980,0,0,0,1
Sierra Leone,moscow-1980,0,0,0,2
